team,wc_cycle,matches_played,total_points,total_goal_diff,points_per_match,dif_goals_per_match,home_advantage,points
Algeria,2026,34,77,44,2.26,1.29,0,1571.033293
Argentina,2026,24,54,29,2.25,1.21,0,1876.118331
Australia,2026,24,56,44,2.33,1.83,0,1579.34264
Austria,2026,28,56,36,2.0,1.29,0,1597.404087
Belgium,2026,28,49,38,1.75,1.36,0,1742.235945
Bosnia and Herzegovina,2026,27,30,-15,1.11,-0.56,0,1387.215771
Brazil,2026,22,34,10,1.55,0.45,0,1765.856297
Cabo Verde,2026,31,54,11,1.74,0.35,0,1371.10798
Canada,2026,29,50,19,1.72,0.66,1,1559.479301
Colombia,2026,24,41,19,1.71,0.79,0,1698.351858
Congo DR,2026,34,66,25,1.94,0.74,0,1479.684122
Croatia,2026,31,59,32,1.9,1.03,0,1714.865572
Curaçao,2026,27,43,25,1.59,0.93,0,1294.76909
Czechia,2026,27,45,15,1.67,0.56,0,1505.737856
Côte d'Ivoire,2026,34,71,39,2.09,1.15,0,1540.869533
Ecuador,2026,22,37,10,1.68,0.45,0,1598.51582
Egypt,2026,38,76,34,2.0,0.89,0,1562.367246
England,2026,29,71,55,2.45,1.9,0,1827.048678
France,2026,30,66,46,2.2,1.53,0,1869.428449
Germany,2026,21,43,32,2.05,1.52,0,1735.771984
Ghana,2026,25,41,17,1.64,0.68,0,1346.881205
Haiti,2026,31,55,32,1.77,1.03,0,1293.096585
IR Iran,2026,37,80,56,2.16,1.51,0,1619.58163
Iraq,2026,43,85,29,1.98,0.67,0,1451.153466
Japan,2026,23,56,60,2.43,2.61,0,1661.576187
Jordan,2026,35,62,30,1.77,0.86,0,1387.738222
Korea Republic,2026,25,53,37,2.12,1.48,0,1591.630886
Mexico,2026,27,57,24,2.11,0.89,1,1687.481759
Morocco,2026,33,82,63,2.48,1.91,0,1755.100232
Netherlands,2026,32,59,39,1.84,1.22,0,1751.097835
New Zealand,2026,16,34,41,2.12,2.56,0,1275.581062
Norway,2026,22,48,42,2.18,1.91,0,1557.437664
Panama,2026,40,80,31,2.0,0.78,0,1539.155509
Paraguay,2026,21,28,-1,1.33,-0.05,0,1505.349689
Portugal,2026,31,72,60,2.32,1.94,0,1766.177547
Qatar,2026,41,64,5,1.56,0.12,0,1450.307729
Saudi Arabia,2026,39,61,12,1.56,0.31,0,1421.538339
Scotland,2026,25,41,7,1.64,0.28,0,1503.34027
Senegal,2026,31,77,51,2.48,1.65,0,1686.412769
South Africa,2026,45,80,30,1.78,0.67,0,1428.379282
Spain,2026,33,84,61,2.55,1.85,0,1873.013187
Sweden,2026,22,34,12,1.55,0.55,0,1509.785392
Switzerland,2026,27,42,19,1.56,0.7,0,1650.064179
Tunisia,2026,36,70,44,1.94,1.22,0,1476.405088
Türkiye,2026,29,62,22,2.14,0.76,0,1605.730921
USA,2026,26,52,38,2.0,1.46,1,1671.2341
Uruguay,2026,24,39,17,1.62,0.71,0,1673.068603
Uzbekistan,2026,33,71,38,2.15,1.15,0,1461.208132
